результаты в табличном виде:
https://docs.google.com/spreadsheets/d/1nGiAhGcIHm1QikKIbAN_krccRdjT34EOUSx4z0APf2s/edit?usp=sharing

Шрифты	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Начертание	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Сдвиг	Малые прописные	Все прописные	Выровнять высоту знаков
Georgia	48	стандартный	жирная пунктирная линия	нет	курсив	false	true	true	false	50	false	true	false
Comic Sans MS	44	стандартный	одинарная линия	нет	курсив	false	true	true	false	100	false	false	true
Lucida Sans	10.5	стандартный	жирная пунктирная линия	нет	полужирный курсив	false	false	false	false	0	false	false	true
Gautami	10	стандартный	пунктирная линия	цвет из политры	полужирный	false	false	true	false	50	false	true	false
Calibri	44	стандартный	двойная линия	стандартный	обычный	false	true	true	false	50	false	true	true
Arial	54	стандартный	жирная линия	цвет из политры	обычный	false	true	false	false	0	false	true	false
Malgun Gothic	80	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	false	true	false	50	false	true	false
Calibri	60	стандартный	двойная линия	стандартный	полужирный курсив	true	false	true	false	100	false	false	false
Cambria	80	стандартный	жирная пунктирная линия	стандартный	полужирный	true	false	true	false	100	false	false	false
Verdana	16	цвет из политры	нет	нет	полужирный курсив	true	false	false	false	0	false	true	false
Gautami	16	стандартный	пунктирная линия	стандартный	обычный	false	true	true	false	50	false	true	false
Sylfaen	16	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	false	true
MPingLiU-ExtB	12	стандартный	двойная линия	стандартный	курсив	false	true	true	false	50	true	false	false
Lucida Sans Unicode	10.5	цвет из политры	пунктирная линия	нет	полужирный	false	false	false	false	0	false	true	true
Microsoft YaHei	80	стандартный	пунктирная линия	цвет из политры	курсив	false	true	false	false	0	false	false	false
Candara	14	цвет из политры	пунктирная линия	нет	полужирный	true	false	true	false	100	false	true	true
Corbel	72	стандартный	жирная пунктирная линия	стандартный	обычный	false	true	true	false	100	false	true	false
Arial Black	32	цвет из политры	жирная линия	цвет из политры	обычный	false	false	true	false	50	true	false	true
Comic Sans MS	24	стандартный	пунктирная линия	нет	курсив	false	false	true	false	50	true	false	false
MS PGothic	10	стандартный	жирная пунктирная линия	нет	полужирный курсив	false	false	true	false	100	false	false	true
Rockwell	24	цвет из политры	жирная пунктирная линия	стандартный	обычный	false	true	true	false	50	false	false	true
Arial Black	28	стандартный	пунктирная линия	цвет из политры	курсив	false	false	false	false	0	false	true	true
Gautami	9	стандартный	жирная линия	стандартный	полужирный курсив	false	false	true	false	100	false	true	false
Franklin Gothic Book	40	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
Corbel	88	стандартный	одинарная линия	стандартный	полужирный курсив	true	false	true	false	50	true	false	true
Gill Sans MT	54	цвет из политры	пунктирная линия	цвет из политры	курсив	false	true	true	false	100	false	false	true
Arial	18	цвет из политры	двойная линия	стандартный	полужирный	false	true	true	false	100	true	false	true
MS Gothic	24	цвет из политры	одинарная линия	нет	курсив	true	false	false	false	0	false	true	false
TW Cen MT	11	стандартный	пунктирная линия	нет	полужирный курсив	false	true	true	false	50	false	true	true
MPingLiU-ExtB	40	цвет из политры	пунктирная линия	стандартный	полужирный	false	true	true	false	50	false	true	false
Microsoft JhengHei	80	цвет из политры	двойная линия	нет	полужирный	true	false	false	false	0	false	false	true
Arial Black	88	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	true	false
Franklin Gothic Medium	44	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	50	false	true	true
Arial	48	цвет из политры	пунктирная линия	нет	полужирный курсив	true	false	false	false	0	false	false	false
Segoe UI	8	цвет из политры	нет	нет	полужирный курсив	false	false	true	false	100	false	false	false
Microsoft JhengHei	96	цвет из политры	нет	нет	полужирный	true	false	true	false	50	false	true	true
Gautami	44	стандартный	пунктирная линия	стандартный	обычный	false	true	true	false	100	true	false	true
Arial Black	54	цвет из политры	пунктирная линия	нет	курсив	true	false	false	false	0	true	false	false
Tahoma	9	цвет из политры	пунктирная линия	нет	полужирный курсив	false	true	true	false	100	false	true	true
MPingLiU-ExtB	72	цвет из политры	жирная линия	цвет из политры	курсив	false	true	true	false	100	false	true	true
Bookman Old Style	14	цвет из политры	двойная линия	стандартный	курсив	true	false	true	false	100	false	true	false
Trebuchet MS	66	цвет из политры	жирная пунктирная линия	стандартный	курсив	false	false	false	false	0	false	false	true
Century Gothic	80	стандартный	жирная линия	нет	полужирный курсив	false	false	false	false	0	false	true	true
Century	32	стандартный	нет	нет	курсив	false	true	false	false	0	false	true	true
Constantia	11	цвет из политры	двойная линия	нет	курсив	true	false	true	false	50	false	true	true
Georgia	54	цвет из политры	жирная линия	стандартный	полужирный	false	false	false	false	0	false	false	true
Century Schoolbook	80	стандартный	пунктирная линия	стандартный	обычный	false	true	false	false	0	false	false	true
Book Antiqua	24	стандартный	пунктирная линия	нет	полужирный	false	true	true	false	100	false	true	false
Malgun Gothic	66	стандартный	жирная линия	цвет из политры	обычный	true	false	true	false	100	false	true	true
Malgun Gothic	72	стандартный	жирная пунктирная линия	нет	полужирный	false	false	false	false	0	true	false	false
Comic Sans MS	72	стандартный	жирная линия	стандартный	курсив	false	true	true	false	50	false	false	true
Bookman Old Style	12	стандартный	жирная пунктирная линия	нет	полужирный	true	false	true	false	100	true	false	true
TW Cen MT	66	стандартный	одинарная линия	стандартный	курсив	false	true	true	false	100	true	false	false
Comic Sans MS	20	стандартный	жирная линия	нет	обычный	false	false	true	false	50	false	true	false
SimSun-ExtB	10	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
Malgun Gothic	60	цвет из политры	жирная линия	нет	полужирный	true	false	true	false	100	true	false	true
Comic Sans MS	36	цвет из политры	жирная линия	стандартный	полужирный	false	true	true	false	100	false	true	true
Cambria	96	цвет из политры	двойная линия	цвет из политры	обычный	true	false	false	false	0	false	true	true
Verdana	44	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	true	true	false	50	true	false	true
Calibri	54	цвет из политры	жирная пунктирная линия	нет	полужирный	true	false	true	false	100	false	true	false
Arial	96	цвет из политры	одинарная линия	нет	полужирный курсив	false	true	false	false	0	true	false	true
Garamond	10.5	цвет из политры	жирная пунктирная линия	стандартный	полужирный	true	false	true	false	50	true	false	true
Century Gothic	10.5	стандартный	одинарная линия	нет	обычный	false	true	true	false	50	false	true	true
Sylfaen	72	стандартный	пунктирная линия	стандартный	полужирный курсив	false	true	true	false	100	false	true	false
Arial	10	стандартный	двойная линия	цвет из политры	полужирный	true	false	true	false	50	true	false	true
Segoe UI Light	8	цвет из политры	одинарная линия	цвет из политры	обычный	false	true	true	false	100	false	true	true
Century Gothic	32	стандартный	двойная линия	стандартный	полужирный курсив	false	true	true	false	100	false	true	true
Georgia	60	стандартный	жирная пунктирная линия	цвет из политры	обычный	true	false	true	false	100	false	true	true
Consolas	24	стандартный	нет	нет	полужирный	true	false	false	false	0	false	true	false
Segoe UI	36	стандартный	двойная линия	стандартный	курсив	true	false	true	false	50	true	false	true
Franklin Gothic Medium	20	цвет из политры	одинарная линия	стандартный	обычный	false	true	true	false	100	false	false	true
Times	66	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	false	false	true	false	100	false	false	true
Franklin Gothic Medium	60	стандартный	двойная линия	нет	курсив	true	false	false	false	0	false	true	true
Segoe UI	18	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	true	false	true
SimSun	28	цвет из политры	жирная линия	стандартный	полужирный	false	false	true	false	50	false	true	false
Bookman Old Style	20	цвет из политры	жирная линия	стандартный	обычный	true	false	false	false	0	false	true	false
Trebuchet MS	18	стандартный	жирная линия	нет	курсив	false	false	false	false	0	true	false	true
MS PGothic	44	цвет из политры	одинарная линия	стандартный	полужирный курсив	true	false	true	false	100	false	false	false
TW Cen MT	28	цвет из политры	пунктирная линия	стандартный	обычный	true	false	true	false	100	false	false	true
Trebuchet MS	72	стандартный	двойная линия	цвет из политры	курсив	false	false	true	false	50	false	true	false
TH SarabunPSK	20	стандартный	одинарная линия	стандартный	обычный	true	false	true	false	100	false	true	true
Courier New	8	цвет из политры	нет	нет	полужирный курсив	false	true	true	false	100	true	false	false
Tahoma	16	цвет из политры	двойная линия	нет	полужирный	true	false	false	false	0	false	true	false
Courier New	10.5	стандартный	одинарная линия	нет	полужирный курсив	true	false	false	false	0	false	true	true
Trebuchet MS	10.5	цвет из политры	двойная линия	стандартный	полужирный	false	true	false	false	0	false	false	true
SimSun-ExtB	36	стандартный	одинарная линия	цвет из политры	обычный	false	false	true	false	100	false	false	true
Corbel	60	цвет из политры	пунктирная линия	цвет из политры	обычный	true	false	true	false	50	false	true	false
Book Antiqua	20	стандартный	одинарная линия	нет	обычный	true	false	true	false	50	false	true	true
SimSun	88	стандартный	жирная пунктирная линия	нет	обычный	true	false	true	false	50	false	true	true
Comic Sans MS	10	цвет из политры	нет	нет	обычный	false	true	true	false	100	false	true	true
TW Cen MT	40	цвет из политры	жирная линия	стандартный	полужирный курсив	false	false	true	false	100	false	true	true
Century	20	стандартный	двойная линия	стандартный	курсив	false	true	false	false	0	false	true	true
Microsoft YaHei	88	цвет из политры	двойная линия	цвет из политры	курсив	false	true	true	false	50	false	true	false
Rockwell	20	цвет из политры	одинарная линия	цвет из политры	обычный	false	true	true	false	50	false	true	true
Gautami	10.5	стандартный	жирная линия	нет	полужирный	false	true	true	false	100	true	false	true
Malgun Gothic	44	цвет из политры	одинарная линия	цвет из политры	курсив	false	true	true	false	50	true	false	false
SimSun-ExtB	80	стандартный	жирная линия	стандартный	полужирный курсив	false	false	true	false	50	false	true	true
Constantia	72	цвет из политры	одинарная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
Gautami	36	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	50	false	true	false
Microsoft JhengHei	48	стандартный	пунктирная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
Book Antiqua	28	стандартный	одинарная линия	стандартный	полужирный	true	false	false	false	0	false	true	true
SimSun	24	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
Garamond	48	стандартный	жирная линия	нет	полужирный курсив	false	false	true	false	50	false	true	true
Franklin Gothic Medium	36	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	false	true	false	50	true	false	true
Times New Roman	10.5	стандартный	жирная линия	стандартный	курсив	false	true	true	false	50	true	false	false
Calibri	36	цвет из политры	жирная линия	цвет из политры	полужирный	false	false	true	false	100	true	false	false
TH SarabunPSK	40	цвет из политры	пунктирная линия	стандартный	обычный	false	false	true	false	50	false	false	true
Cambria	10.5	цвет из политры	жирная линия	нет	полужирный курсив	true	false	false	false	0	false	false	false
MS Gothic	66	стандартный	одинарная линия	цвет из политры	курсив	true	false	true	false	100	false	false	true
Rockwell	72	цвет из политры	одинарная линия	стандартный	курсив	false	true	false	false	0	false	false	false
Consolas	12	цвет из политры	одинарная линия	нет	курсив	false	false	false	false	0	false	false	true
SimSun-ExtB	11	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	true
Lucida Sans	88	цвет из политры	одинарная линия	стандартный	обычный	false	true	false	false	0	true	false	false
Garamond	44	стандартный	пунктирная линия	цвет из политры	полужирный	false	false	true	false	50	true	false	true
Corbel	44	цвет из политры	двойная линия	нет	полужирный	false	false	false	false	0	false	false	false
Century	28	стандартный	жирная пунктирная линия	цвет из политры	полужирный	true	false	true	false	50	false	false	true
Gill Sans MT	72	стандартный	пунктирная линия	нет	обычный	false	false	false	false	0	false	true	false
Malgun Gothic	32	цвет из политры	одинарная линия	цвет из политры	курсив	false	true	true	false	100	false	true	false
Microsoft YaHei	8	стандартный	жирная линия	стандартный	обычный	false	false	true	false	100	false	true	true
Malgun Gothic	14	стандартный	нет	нет	полужирный курсив	false	false	false	false	0	false	true	false
Century	10.5	цвет из политры	жирная линия	цвет из политры	обычный	false	true	true	false	100	false	false	false
Consolas	9	стандартный	пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	true	false	true
SimSun	44	цвет из политры	жирная пунктирная линия	нет	полужирный курсив	true	false	true	false	50	false	true	true
Segoe UI Light	32	цвет из политры	двойная линия	нет	курсив	true	false	false	false	0	true	false	false
Malgun Gothic	28	цвет из политры	жирная линия	цвет из политры	обычный	false	true	true	false	50	false	false	true
Segoe UI Light	48	стандартный	двойная линия	стандартный	обычный	false	true	true	false	50	false	false	true
Franklin Gothic Medium	9	стандартный	пунктирная линия	цвет из политры	полужирный	false	true	true	false	50	true	false	false
TW Cen MT	44	цвет из политры	двойная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
Lucida Sans Unicode	12	цвет из политры	жирная линия	стандартный	полужирный курсив	true	false	true	false	50	false	false	true
Lucida Sans	72	цвет из политры	одинарная линия	стандартный	обычный	false	false	true	false	100	false	true	false
Microsoft YaHei	12	цвет из политры	жирная линия	нет	полужирный курсив	false	true	true	false	50	false	false	true
Verdana	32	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	true	false	false	0	false	false	true
Gill Sans MT	48	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	100	false	true	true
Arial Black	40	стандартный	одинарная линия	стандартный	обычный	false	false	false	false	0	false	true	false
Arial	16	стандартный	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
TH SarabunPSK	96	стандартный	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	50	false	true	false
Times	40	цвет из политры	пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	false	false	false
Century Gothic	11	цвет из политры	двойная линия	стандартный	курсив	true	false	true	false	100	false	false	false
Verdana	96	стандартный	двойная линия	нет	полужирный курсив	true	false	false	false	0	true	false	true
Microsoft JhengHei	44	стандартный	жирная пунктирная линия	нет	курсив	false	false	true	false	100	false	true	false
Consolas	14	цвет из политры	пунктирная линия	нет	полужирный	false	true	false	false	0	false	true	false
Calibri	28	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	true	false	false	false	0	false	true	true
Bookman Old Style	96	стандартный	двойная линия	нет	обычный	true	false	true	false	100	false	false	true
Arial	24	стандартный	пунктирная линия	стандартный	полужирный	true	false	true	false	50	false	true	true
Bookman Old Style	36	стандартный	одинарная линия	нет	обычный	false	false	true	false	100	true	false	true
Century Schoolbook	11	цвет из политры	жирная пунктирная линия	нет	обычный	false	false	true	false	100	false	true	false
Franklin Gothic Medium	8	цвет из политры	двойная линия	нет	полужирный курсив	false	true	true	false	50	false	true	false
Arial	12	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	false	false	false	0	false	true	true
Century	14	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	true	false	100	false	true	true
Century Schoolbook	9	стандартный	пунктирная линия	цвет из политры	полужирный	true	false	true	false	100	false	false	true
Century Schoolbook	66	стандартный	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	true	false	true
Microsoft YaHei	32	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	false	false
TW Cen MT	32	цвет из политры	нет	нет	полужирный	false	false	true	false	50	false	false	false
Microsoft JhengHei	14	цвет из политры	пунктирная линия	нет	курсив	false	true	false	false	0	false	true	true
Arial	9	стандартный	двойная линия	стандартный	полужирный курсив	false	false	false	false	0	false	true	true
MS Gothic	8	цвет из политры	двойная линия	цвет из политры	обычный	false	true	true	false	100	true	false	true
Cambria	66	стандартный	одинарная линия	цвет из политры	полужирный курсив	true	false	false	false	0	false	true	true
Rockwell	32	цвет из политры	двойная линия	стандартный	полужирный курсив	false	true	true	false	50	true	false	false
Arial Black	14	цвет из политры	одинарная линия	нет	полужирный	false	true	true	false	50	false	true	true
Malgun Gothic	9	стандартный	двойная линия	нет	полужирный курсив	false	true	false	false	0	false	false	false
Times	72	стандартный	жирная линия	стандартный	полужирный	false	true	true	false	100	true	false	true
Lucida Sans	14	цвет из политры	одинарная линия	стандартный	курсив	false	true	true	false	100	false	true	true
SimSun	72	стандартный	двойная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
SimSun	66	цвет из политры	пунктирная линия	нет	полужирный	false	false	false	false	0	false	true	true
Century Schoolbook	10.5	цвет из политры	пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	false	true	false
Gautami	24	стандартный	жирная пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	false	false	false
Tahoma	54	цвет из политры	пунктирная линия	нет	курсив	false	true	false	false	0	false	true	true
Microsoft YaHei	24	стандартный	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	50	false	true	false
Constantia	80	цвет из политры	одинарная линия	цвет из политры	курсив	false	true	true	false	100	false	true	true
Microsoft YaHei	28	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	50	false	true	false
TH SarabunPSK	18	цвет из политры	нет	нет	полужирный курсив	false	true	true	false	100	false	true	true
Microsoft JhengHei	72	стандартный	двойная линия	нет	курсив	true	false	false	false	0	true	false	false
Constantia	10	стандартный	пунктирная линия	стандартный	полужирный	false	true	true	false	50	false	true	false
Trebuchet MS	16	стандартный	двойная линия	нет	полужирный	false	true	false	false	0	false	true	false
Segoe UI	11	цвет из политры	двойная линия	стандартный	курсив	true	false	true	false	100	true	false	true
Arial	36	цвет из политры	одинарная линия	стандартный	курсив	false	false	true	false	100	true	false	false
Courier New	54	стандартный	жирная линия	нет	полужирный	false	true	false	false	0	false	true	false
Gautami	80	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	true	false	false	false	0	false	true	false
Calibri Light	88	цвет из политры	жирная линия	цвет из политры	полужирный	false	true	false	false	0	false	true	true
Segoe UI	24	цвет из политры	одинарная линия	стандартный	полужирный	true	false	false	false	0	false	true	false
Candara	36	цвет из политры	пунктирная линия	стандартный	полужирный курсив	false	false	false	false	0	false	true	true
MS Gothic	40	цвет из политры	двойная линия	нет	курсив	true	false	true	false	50	false	true	true
Times New Roman	48	цвет из политры	одинарная линия	нет	полужирный	false	true	false	false	0	false	false	true
Franklin Gothic Book	16	цвет из политры	двойная линия	стандартный	курсив	false	false	true	false	100	false	true	false
Lucida Sans Unicode	36	цвет из политры	жирная линия	цвет из политры	обычный	false	true	true	false	50	false	true	true
Courier New	88	стандартный	нет	нет	обычный	true	false	false	false	0	true	false	true
Calibri Light	10.5	цвет из политры	двойная линия	нет	полужирный	false	true	true	false	100	false	true	false
SimSun-ExtB	66	цвет из политры	одинарная линия	стандартный	полужирный курсив	false	false	true	false	100	false	false	false
Franklin Gothic Medium	10.5	стандартный	жирная линия	стандартный	полужирный	false	true	false	false	0	false	false	true
Times New Roman	11	цвет из политры	жирная линия	нет	полужирный курсив	false	true	false	false	0	false	true	true
Book Antiqua	40	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
Franklin Gothic Medium	72	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	100	false	false	true
Sylfaen	24	цвет из политры	пунктирная линия	нет	полужирный	false	false	true	false	50	true	false	true
Gautami	28	стандартный	нет	нет	обычный	false	true	true	false	50	false	true	true
TH SarabunPSK	36	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	false	true	true	false	100	false	true	true
MPingLiU-ExtB	16	стандартный	нет	нет	полужирный	true	false	true	false	100	false	false	true
Segoe UI Light	96	стандартный	нет	нет	полужирный курсив	false	true	false	false	0	false	true	false
Arial Black	11	стандартный	жирная пунктирная линия	нет	курсив	true	false	true	false	100	true	false	true
MS PGothic	60	стандартный	одинарная линия	нет	курсив	false	true	false	false	0	true	false	false
Microsoft YaHei	96	цвет из политры	одинарная линия	стандартный	обычный	true	false	true	false	50	true	false	false
Century	88	стандартный	одинарная линия	нет	курсив	false	false	false	false	0	false	true	true
Tahoma	8	стандартный	двойная линия	стандартный	полужирный	false	true	true	false	50	true	false	false
Lucida Sans Unicode	16	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	false	true	false	100	true	false	false
MS Gothic	28	цвет из политры	одинарная линия	стандартный	полужирный	false	false	true	false	100	false	true	false
Franklin Gothic Book	20	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	true	false	true	false	50	false	true	false
Times	48	стандартный	жирная линия	стандартный	обычный	false	true	true	false	50	true	false	true
Microsoft YaHei	10.5	цвет из политры	двойная линия	цвет из политры	курсив	false	true	true	false	50	false	true	true
Tahoma	96	стандартный	пунктирная линия	нет	курсив	false	true	false	false	0	true	false	false
Verdana	40	цвет из политры	нет	нет	курсив	true	false	false	false	0	false	false	false
Lucida Sans	60	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	true	false	false	0	true	false	false
Consolas	54	цвет из политры	одинарная линия	нет	полужирный	true	false	true	false	50	false	true	false
Verdana	12	цвет из политры	жирная пунктирная линия	стандартный	курсив	false	false	false	false	0	false	true	true
Consolas	96	цвет из политры	одинарная линия	стандартный	обычный	false	true	true	false	50	false	true	true
Verdana	60	цвет из политры	жирная пунктирная линия	стандартный	полужирный курсив	true	false	false	false	0	false	true	true
Microsoft JhengHei	88	стандартный	жирная линия	цвет из политры	курсив	true	false	true	false	50	false	false	false
Franklin Gothic Book	96	стандартный	жирная линия	стандартный	обычный	false	false	true	false	50	false	false	true
Segoe UI Light	11	стандартный	нет	нет	обычный	true	false	false	false	0	false	false	true
SimSun	8	стандартный	двойная линия	стандартный	полужирный курсив	true	false	false	false	0	true	false	true
Candara	44	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	false	true	false	50	false	true	true
Lucida Sans	18	стандартный	пунктирная линия	нет	курсив	true	false	true	false	50	false	true	false
Calibri Light	11	цвет из политры	одинарная линия	стандартный	обычный	false	true	true	false	50	false	true	true
Century Schoolbook	72	цвет из политры	пунктирная линия	цвет из политры	курсив	false	true	true	false	50	false	true	false
Corbel	80	стандартный	жирная линия	стандартный	курсив	false	false	true	false	100	false	true	true
Calibri	88	стандартный	жирная пунктирная линия	стандартный	курсив	true	false	false	false	0	false	true	true
Calibri Light	18	стандартный	жирная пунктирная линия	нет	полужирный	false	true	true	false	50	false	true	true
Arial	40	стандартный	жирная пунктирная линия	стандартный	курсив	false	true	false	false	0	false	true	true
Comic Sans MS	10.5	стандартный	жирная пунктирная линия	нет	полужирный	false	true	false	false	0	false	true	true
Courier New	36	цвет из политры	нет	нет	полужирный курсив	true	false	true	false	100	false	true	false
MS Gothic	80	цвет из политры	жирная линия	стандартный	полужирный курсив	true	false	true	false	50	false	true	true
Book Antiqua	32	стандартный	одинарная линия	нет	обычный	true	false	false	false	0	false	false	true
Consolas	32	цвет из политры	жирная линия	стандартный	обычный	false	true	true	false	100	false	false	false
TH SarabunPSK	14	цвет из политры	одинарная линия	нет	обычный	false	true	false	false	0	false	true	false
Constantia	24	цвет из политры	жирная линия	стандартный	полужирный	false	true	true	false	50	false	true	true
Malgun Gothic	40	цвет из политры	пунктирная линия	стандартный	полужирный курсив	false	true	true	false	50	false	true	true
Arial Black	16	цвет из политры	одинарная линия	стандартный	полужирный курсив	false	true	true	false	50	true	false	false
Times	10.5	цвет из политры	одинарная линия	стандартный	обычный	false	true	true	false	100	false	false	true
Garamond	40	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	true	false	false
Trebuchet MS	80	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	false	false
SimSun-ExtB	48	цвет из политры	пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	true	false	false
Microsoft YaHei	9	стандартный	жирная пунктирная линия	нет	полужирный	false	true	true	false	100	false	true	true
MPingLiU-ExtB	14	цвет из политры	пунктирная линия	нет	обычный	false	false	true	false	100	true	false	false
Courier New	16	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	false	false	0	true	false	true
Book Antiqua	12	цвет из политры	пунктирная линия	нет	полужирный	false	true	false	false	0	true	false	false
Arial Black	60	цвет из политры	нет	нет	обычный	false	true	true	false	50	false	true	true
Cambria	36	стандартный	жирная пунктирная линия	стандартный	полужирный	false	true	true	false	100	true	false	true
Corbel	66	стандартный	жирная линия	стандартный	полужирный	false	true	true	false	50	true	false	false
MS Gothic	20	цвет из политры	одинарная линия	стандартный	полужирный	false	false	true	false	100	true	false	false
Lucida Sans	24	стандартный	двойная линия	стандартный	обычный	false	true	false	false	0	false	false	false
Cambria	44	цвет из политры	двойная линия	цвет из политры	курсив	false	true	false	false	0	false	true	false
Candara	10	стандартный	жирная линия	стандартный	курсив	false	false	true	false	100	false	true	true
Century	72	цвет из политры	пунктирная линия	цвет из политры	курсив	true	false	true	false	100	false	false	true
Arial Black	10.5	стандартный	пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	true	false	true
Garamond	16	стандартный	пунктирная линия	нет	курсив	false	true	false	false	0	false	true	false
Sylfaen	80	цвет из политры	одинарная линия	цвет из политры	полужирный	false	true	false	false	0	true	false	true
Century Gothic	28	стандартный	двойная линия	нет	обычный	true	false	false	false	0	true	false	true
TH SarabunPSK	10.5	цвет из политры	одинарная линия	нет	полужирный курсив	false	true	false	false	0	false	true	true
Franklin Gothic Book	12	стандартный	одинарная линия	стандартный	обычный	false	false	true	false	100	true	false	true
Lucida Sans	12	цвет из политры	нет	нет	полужирный курсив	true	false	true	false	100	false	true	true
Garamond	66	стандартный	одинарная линия	нет	курсив	true	false	true	false	100	false	true	true
Comic Sans MS	14	стандартный	жирная линия	стандартный	полужирный курсив	false	false	true	false	50	false	false	false
Times New Roman	66	цвет из политры	жирная пунктирная линия	нет	полужирный	true	false	false	false	0	false	true	false
Trebuchet MS	88	цвет из политры	жирная линия	цвет из политры	обычный	true	false	false	false	0	true	false	false
Trebuchet MS	10	цвет из политры	двойная линия	стандартный	полужирный	false	false	true	false	100	false	true	true
Microsoft YaHei	72	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	false	true	false	100	false	true	true
Constantia	48	цвет из политры	жирная пунктирная линия	нет	курсив	false	true	false	false	0	true	false	true
Trebuchet MS	12	стандартный	двойная линия	стандартный	обычный	false	true	true	false	50	false	true	false
MPingLiU-ExtB	88	стандартный	двойная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	false
Arial	88	стандартный	одинарная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	true
Gautami	32	стандартный	жирная линия	стандартный	полужирный	false	true	true	false	50	false	true	true
Trebuchet MS	60	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	true	false	true	false	100	false	true	false
Trebuchet MS	20	стандартный	нет	нет	курсив	false	true	true	false	50	false	true	true
Century Gothic	40	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	true
TW Cen MT	80	стандартный	нет	нет	курсив	false	true	true	false	50	false	true	false
Century	54	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	true	false	false
Century Schoolbook	10	цвет из политры	нет	нет	обычный	false	true	false	false	0	true	false	false
Lucida Sans Unicode	24	цвет из политры	жирная линия	стандартный	обычный	false	false	true	false	50	true	false	false
SimSun-ExtB	10.5	стандартный	одинарная линия	нет	полужирный курсив	false	true	true	false	100	false	false	true
Comic Sans MS	48	стандартный	жирная линия	стандартный	курсив	true	false	true	false	100	true	false	false
Candara	72	цвет из политры	одинарная линия	стандартный	обычный	false	true	true	false	100	false	true	true
MS Gothic	44	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	true	false	false	0	true	false	false
Courier New	72	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	true	false	true	false	100	false	true	true
Book Antiqua	48	стандартный	двойная линия	стандартный	курсив	false	true	true	false	50	false	true	false
